brand,years,usingyears,tag_price,cc,gasoline,max_,compression,doors,source,mileage,type_number,certificate,residual_value
MAZDA,2015,3,75.9,2000,¨Tªo,165,14,4,8891,19000,4,0,94.72990777
MAZDA,2015,3,75.9,2000,¨Tªo,165,14,4,Yahoo,19000,4,1,94.72990777
FORD,2016,2,92.9,1500,¨Tªo,180,10,5,UCar,3332,3,0,94.7255113
FORD,2016,2,92.9,1500,¨Tªo,180,10,5,UCar,3000,3,0,94.7255113
MAZDA,2016,2,76.9,2000,¨Tªo,165,14,5,8891,7000,2,0,94.66840052
MAZDA,2016,2,76.9,2000,¨Tªo,165,14,5,8891,7000,2,0,94.66840052
MAZDA,2016,2,76.9,2000,¨Tªo,165,14,5,8891,5600,2,0,94.66840052
MAZDA,2016,2,75.9,2000,¨Tªo,165,14,4,8891,11000,3,0,94.59815547
TOYOTA,2015,3,112.9,2500,¨Tªo,180,10.4,5,abc,5361,2,1,94.59698849
TOYOTA,2015,3,112.9,2500,¨Tªo,180,10.4,5,abc,5361,2,1,94.59698849
TOYOTA,2015,3,112.9,2500,¨Tªo,180,10.4,5,abc,5312,3,1,94.59698849
TOYOTA,2016,2,93.9,2000,¨Tªo,167,12.7,4,SUM,23910,3,0,94.5686901
NISSAN,2014,4,52.9,1600,¨Tªo,109,9.8,4,UCar,49203,2,0,94.51795841
NISSAN,2014,4,52.9,1600,¨Tªo,109,9.8,4,UCar,35849,2,0,94.51795841
NISSAN,2014,4,52.9,1600,¨Tªo,109,9.8,4,UCar,24300,2,0,94.51795841
TOYOTA,2017,1,70.9,1800,¨Tªo,140,10,4,UCar,3000,4,0,94.49929478
TOYOTA,2016,2,145,2400,¨Tªo,170,9.8,5,8891,15000,2,0,94.48275862
MAZDA,2014,4,73.9,2000,¨Tªo,151,10,5,Yahoo,40888,4,0,94.45196211
MAZDA,2014,4,73.9,2000,¨Tªo,151,10,5,8891,10000,2,0,94.45196211
NISSAN,2014,4,52.9,1600,¨Tªo,109,9.8,4,abc,38000,2,0,94.13988658
NISSAN,2013,5,52.9,1600,¨Tªo,109,9.8,4,abc,40000,2,0,94.13988658
NISSAN,2015,3,52.9,1600,¨Tªo,109,9.8,4,abc,15000,2,0,94.13988658
NISSAN,2014,4,52.9,1600,¨Tªo,109,9.8,4,8891,15000,2,0,94.13988658
TOYOTA,2016,2,69.9,1800,¨Tªo,140,10,4,SUM,6101,7,0,94.13447783
TOYOTA,2014,4,51.9,1500,¨Tªo,109,10.5,4,abc,15756,2,1,94.02697495
TOYOTA,2014,4,51.9,1500,¨Tªo,109,10.5,4,SUM,13500,2,0,94.02697495
TOYOTA,2015,3,84.9,2000,¨Tªo,148,9.8,4,abc,41000,1,1,93.99293286
TOYOTA,2015,3,84.9,2000,¨Tªo,148,9.8,4,abc,27235,1,1,93.99293286
TOYOTA,2015,3,84.9,2000,¨Tªo,148,9.8,4,abc,25751,1,1,93.99293286
TOYOTA,2015,3,84.9,2000,¨Tªo,148,9.8,4,SUM,24441,1,0,93.99293286
NISSAN,2014,4,84.9,1600,¨Tªo,117,10.7,5,SUM,36031,2,0,93.99293286
HONDA,2017,1,62.9,1500,¨Tªo,120,10.3,4,UCar,5600,3,0,93.79968203
HONDA,2015,3,145,2400,¨Tªo,175,10.1,5,UCar,35868,2,0,93.79310345
FORD,2016,2,92.9,1500,¨Tªo,180,10,5,UCar,12679,3,0,93.64908504
HONDA,2017,1,78.9,1800,¨Tªo,143,10.6,5,8891,5600,3,0,93.53612167
HONDA,2017,1,62.9,1500,¨Tªo,120,10.3,4,8891,5600,2,0,93.48171701
HONDA,2017,1,62.9,1500,¨Tªo,120,10.3,4,Yahoo,5600,3,1,93.48171701
FORD,2017,1,92.9,1500,¨Tªo,182,10,5,8891,3500,3,0,93.43379978
FORD,2016,2,92.9,1500,¨Tªo,180,10,5,8891,19000,3,0,93.43379978
FORD,2016,2,92.9,1500,¨Tªo,180,10,5,8891,13000,3,1,93.43379978
FORD,2016,2,92.9,1500,¨Tªo,180,10,5,SUM,12679,3,1,93.43379978
FORD,2016,2,92.9,1500,¨Tªo,180,10,5,8891,4363,3,0,93.43379978
TOYOTA,2016,2,58.9,1500,¨Tªo,109,10.5,5,UCar,11053,5,0,93.37860781
MAZDA,2016,2,76.9,2000,¨Tªo,165,14,5,8891,12000,2,1,93.3680104
MAZDA,2016,2,76.9,2000,¨Tªo,165,14,5,8891,10000,2,0,93.3680104
MAZDA,2016,2,76.9,2000,¨Tªo,165,14,5,8891,10000,2,0,93.3680104
MAZDA,2016,2,76.9,2000,¨Tªo,165,14,5,8891,10000,2,0,93.3680104
MAZDA,2016,2,76.9,2000,¨Tªo,165,14,5,8891,10000,2,0,93.3680104
MAZDA,2016,2,76.9,2000,¨Tªo,165,14,5,8891,10000,2,0,93.3680104
MITSUBISHI,2014,4,91.9,2400,¨Tªo,172,10.5,5,8891,13000,2,0,93.36235038
MITSUBISHI,2014,4,91.9,2400,¨Tªo,172,10.5,5,8891,12000,2,0,93.36235038
NISSAN,2017,1,106.9,2500,¨Tªo,169.4,10,5,8891,2231,3,1,93.35827877
MAZDA,2016,2,75.9,2000,¨Tªo,165,14,4,8891,10000,3,0,93.28063241
TOYOTA,2016,2,81.3,2000,¨Tªo,146,10,5,8891,32896,3,1,93.23493235
TOYOTA,2016,2,81.3,2000,¨Tªo,146,10,5,8891,32000,3,1,93.23493235
HONDA,2016,2,145,2400,¨Tªo,175,10.1,5,Yahoo,10968,2,0,93.10344828
HONDA,2016,2,73.9,1800,¨Tªo,141,10.6,4,8891,9000,2,1,93.09878214
TOYOTA,2016,2,58.9,1500,¨Tªo,109,10.5,5,abc,11053,5,0,93.03904924
TOYOTA,2016,2,58.9,1500,¨Tªo,109,10.5,5,8891,11000,5,0,93.03904924
TOYOTA,2015,3,58.9,1500,¨Tªo,109,10.5,5,abc,9600,5,1,93.03904924
TOYOTA,2016,2,69.9,1800,¨Tªo,140,10,4,UCar,14000,7,0,92.98998569
TOYOTA,2015,3,69.9,1800,¨Tªo,140,10,4,Yahoo,22104,6,0,92.98998569
HONDA,2015,3,85.9,2000,¨Tªo,155,10.6,5,Yahoo,41239,1,0,92.89871944
TOYOTA,2015,3,98.9,2500,¨Tªo,180,10.4,5,Yahoo,18033,5,0,92.82103134
TOYOTA,2015,3,84.9,2000,¨Tªo,148,9.8,4,abc,30653,1,1,92.81507656
HONDA,2017,1,165,2400,¨Tªo,175,10.1,5,8891,3538,3,0,92.72727273
NISSAN,2013,5,52.9,1600,¨Tªo,109,9.8,4,UCar,93339,2,0,92.62759924
NISSAN,2013,5,52.9,1600,¨Tªo,109,9.8,4,UCar,80000,2,0,92.62759924
NISSAN,2014,4,52.9,1600,¨Tªo,109,9.8,4,UCar,49182,2,0,92.62759924
NISSAN,2014,4,52.9,1600,¨Tªo,109,9.8,4,abc,49182,2,0,92.62759924
NISSAN,2014,4,52.9,1600,¨Tªo,109,9.8,4,8891,8000,2,0,92.62759924
FORD,2016,2,92.9,1500,¨Tªo,180,10,5,UCar,8629,3,0,92.57265877
FORD,2016,2,92.9,1500,¨Tªo,180,10,5,abc,3300,3,0,92.57265877
FORD,2017,1,92.9,1500,¨Tªo,182,10,5,8891,6020,3,0,92.35737352
FORD,2017,1,92.9,1500,¨Tªo,182,10,5,SUM,5023,3,0,92.35737352
FORD,2016,2,92.9,1500,¨Tªo,180,10,5,abc,8629,3,0,92.35737352
MAZDA,2016,2,77.9,2000,¨Tªo,156,14,5,SUM,23000,2,0,92.29781772
TOYOTA,2016,2,81.3,2000,¨Tªo,146,10,5,8891,28000,3,0,92.25092251
TOYOTA,2016,2,81.3,2000,¨Tªo,146,10,5,8891,23000,3,0,92.25092251
NISSAN,2014,4,52.9,1600,¨Tªo,109,9.8,4,abc,24817,2,0,92.24952741
HONDA,2016,2,62.9,1500,¨Tªo,120,10.3,4,8891,15000,2,0,92.20985692
HONDA,2016,2,62.9,1500,¨Tªo,120,10.3,4,UCar,10000,3,0,92.20985692
LEXUS,2016,2,239,2000,¨Tªo,238,10,5,8891,6024,3,0,92.05020921
HONDA,2014,4,63.9,1500,¨Tªo,120,10.4,5,abc,63170,1,0,92.01877934
TOYOTA,2015,3,84.9,2000,¨Tªo,148,9.8,4,abc,24000,1,0,91.87279152
NISSAN,2015,3,59.9,1600,¨Tªo,115,9.8,5,8891,6000,4,0,91.8196995
FORD,2015,3,60.8,1500,¨Tªo,112,11,5,8891,38000,4,0,91.77631579
FORD,2015,3,60.8,1500,¨Tªo,112,11,5,8891,30000,4,0,91.77631579
FORD,2015,3,60.8,1500,¨Tªo,112,11,5,8891,30000,4,0,91.77631579
FORD,2014,4,60.8,1500,¨Tªo,112,11,5,8891,29000,4,0,91.77631579
FORD,2014,4,60.8,1500,¨Tªo,112,11,5,8891,25000,4,0,91.77631579
FORD,2016,2,60.8,1500,¨Tªo,112,11,5,8891,6012,4,0,91.77631579
NISSAN,2013,5,84.9,1600,¨Tªo,117,10.7,5,abc,34000,2,1,91.75500589
TOYOTA,2015,3,84.9,2000,¨Tªo,148,9.8,4,abc,5600,1,1,91.63722026
HONDA,2016,2,145,2400,¨Tªo,175,10.1,5,8891,24000,2,0,91.5862069
HONDA,2015,3,145,2400,¨Tªo,175,10.1,5,8891,36000,2,0,91.5862069
HONDA,2015,3,145,2400,¨Tªo,175,10.1,5,8891,36000,2,0,91.5862069
HONDA,2015,3,145,2400,¨Tªo,175,10.1,5,8891,36000,2,0,91.5862069
TOYOTA,2016,2,69.9,1800,¨Tªo,140,10,4,UCar,5000,7,0,91.55937053
TOYOTA,2016,2,61,2000,¨Tªo,133,9.8,5,abc,4345,4,1,91.47540984
TOYOTA,2016,2,69.9,1800,¨Tªo,140,10,4,SUM,5000,7,0,91.41630901
TOYOTA,2016,2,58.9,1500,¨Tªo,109,10.5,5,8891,7800,5,0,91.34125637
TOYOTA,2015,3,69.9,1800,¨Tªo,140,10,4,abc,36260,6,1,91.2732475
TOYOTA,2016,2,69.9,1800,¨Tªo,140,10,4,abc,20000,7,1,91.2732475
MAZDA,2016,2,69.9,1500,¨Tªo,107,12,5,abc,9050,3,0,91.2732475
TOYOTA,2016,2,69.9,1800,¨Tªo,140,10,4,SUM,7937,7,0,91.2732475
MAZDA,2015,3,80.9,2000,¨Tªo,165,14,5,8891,34000,2,0,91.223733
MAZDA,2015,3,80.9,2000,¨Tªo,165,14,5,8891,34000,2,0,91.223733
MAZDA,2015,3,80.9,2000,¨Tªo,165,14,5,8891,30000,2,1,91.223733
TOYOTA,2014,4,57.9,1500,¨Tªo,109,10.5,5,abc,46720,6,1,91.19170984
TOYOTA,2014,4,57.9,1500,¨Tªo,109,10.5,5,abc,46720,6,1,91.19170984
TOYOTA,2014,4,57.9,1500,¨Tªo,109,10.5,5,abc,46720,6,1,91.19170984
FORD,2013,5,65.9,1600,¨Tªo,125,11,4,8891,30000,3,0,91.04704097
HONDA,2016,2,65.9,1500,¨Tªo,120,10.3,5,UCar,7000,3,0,91.04704097
HONDA,2015,3,65.9,1500,¨Tªo,120,10.3,5,UCar,10000,3,0,91.04704097
LEXUS,2016,2,259,2000,¨Tªo,238,10,5,abc,27328,6,1,91.04247104
HONDA,2016,2,145,2400,¨Tªo,175,10.1,5,8891,24000,2,0,91.03448276
HONDA,2015,3,145,2400,¨Tªo,175,10.1,5,Yahoo,23778,2,1,91.03448276
MAZDA,2017,1,87.9,2000,¨Tªo,165,14,4,UCar,2000,7,0,91.01251422
HONDA,2017,1,78.9,1800,¨Tªo,143,10.6,5,8891,5000,3,0,91.00126743
MAZDA,2016,2,75.9,2000,¨Tªo,165,14,4,8891,20000,3,0,90.90909091
TOYOTA,2014,4,72.6,1800,¨Tªo,140,10,4,abc,33241,5,0,90.90909091
MAZDA,2016,2,129.8,2000,¨Tªo,160,13,2,8891,6700,1,0,90.90909091
MAZDA,2016,2,129.8,2000,¨Tªo,160,13,2,8891,6700,1,0,90.90909091
MAZDA,2016,2,129.8,2000,¨Tªo,160,13,2,UCar,6000,1,0,90.90909091
TOYOTA,2014,4,72.6,1800,¨Tªo,140,10,4,abc,16324,5,0,90.90909091
MAZDA,2016,2,77.9,2000,¨Tªo,156,14,5,8891,20000,2,0,90.88575096
TOYOTA,2016,2,58.9,1500,¨Tªo,109,10.5,5,8891,10000,5,0,90.83191851
